"De bini  aber froh , dassd  ni bisch abgschtürzt ! Sorry , hättider chlei söue ufbewahre ? :-p mir geiz  super , ha grad ä abchüelig ir  aare hingermer  !",NEWS,NEWS,NEWS,NEWS,NEWS,NEWS
höt ned zu der cho han leider no vell ufzgi a ja chasch mer no säge wenn abstemmig esch glg  mahmoud,APP,APP,APP,APP,APP,APP
"nei , säg das ned ! :( debi hani  der welle verzelle , wasi   för e cooli idee före  sidonia gha han ! :( mach der bitte kei streß mit mim gschänk !",NC,NC,NC,NC,NC,NC
d' shm  isch erscht nöchscht wuuchä (   dez. ) . morn also no eisch tschuttisachä mitnäh . lg,APP,NEWS,APP,"NEWS, APP",APP,NC
"wir sicher klappe . Also chunnsch dä chäs am friitig mittag idämfall   hole ^^ hdgdl    mausi , xxx m",APP,APP,APP,APP,APP,APP
"Ne , glaub nöd . Bin mal go luege , isch nöd so mis ding . Lg",NC,NC,NC,NC,NC,NC
"brucsch nu öpis ? ich bringä sicher milch , ankä , und chlä chääs ! bis später .. hdg",NEWS,NEWS,NEWS,NEWS,NEWS,NC
eus ischs  eigetli glich wägem    ? Du müesstisch eifach din adventschranz mitem  zug heineh  wend   zu eus chunsch :-) lg,NC,NC,NC,NC,NC,NC
usserd mine für is oberland . Will aber am HB beid gleis bsetzt gsi sind ( und das warschinli wägem   verstopfte stadelhofe ) hät de pünktlich zug hinder em andere müese warte :-) Jetz häter  natürli au verspötig .,NEWS,NEWS,NC,NEWS,NEWS,NEWS
ebe  5 wuche ishs  her . Den shrib ich namal eine ;-) macht nix hoffe dir au ned dasd   so lang hesh müese warte ? Wa machsh am weekend ? Hoffe mir xehnd üs bald emal ? ! Mir,APP,NC,NC,NC,APP,APP
"i gani  heii .. :) Nacher schlafi  , bi brutaaal gschlisse .. ! Hdaumfg        ly  < . 3",NC,NC,NEWS,NC,NC,NC
Säge uf dim wiitere lebeswäg ! ! ! Er umgitt Dich und liebt dich so wiä du bisch ! Lg,NC,NC,NC,NC,NC,NC
gschickt . Due aber zerscht bitte iri def vo gern ha in sinn rüefe . Guk   hdl,NC,NC,NC,NC,NC,NC
abneh ... han schuel gha wot  du mir aglüte häsch ( früeh mittag ) & hüt zabig  hämmer   chränzli hauptprob gha .. schöne abig & guet nacht grüessli günther,NC,NEWS,NC,NC,NC,NC
Jöö bisch du süess ! Mir häts   au super gfalle und has  mega gnoße mit dir ! Danke daß dich git bisch au mis beste und,NC,NC,NC,NC,NC,NC
"Hallo Ehr zwei Liebe ! De Jacques hätmers    ersch jetz usgrichted . ;/ Aber , händ för morn sowiso scho abgmacht gha . Aber MERCI VELLMOL trotzdem",NC,NC,NC,NC,NC,APP
Hesch du e idee ? Oder wömmer  sus am 6 i bim bellevue od. central abmacha ? Glg,APP,APP,APP,APP,APP,APP
no voll mit der Usstellig beschäftiget . Häsch s mms eigetli übercho ? Machs  guet die Wuche ! LG,NC,NC,NEWS,NC,NC,NC
"vku bis am NNNN h , aber derna hätti zyt ! würd di ou gärn wieder mau gseh ... lg",NC,APP,APP,NC,APP,APP
